,eye,label
0,0 0 0 0 0 0 0 0 30 26,1
1,0 0 28 28 0 22 0 18 0 40 26 0 28 18 40 26 14 0 0 0,1
2,0 0 28 30 30 24 22 0 0 0 14 16 24 18 32 16 26 0 0 0,1
3,0 30 26 30 26 0 0 0 0 38 0 0 28 0 0 24 0 0 0 0,1
4,0 0 0 0 0 0 26 26 24 0,1
5,0 0 24 0 0 0 0 20 24 0 0 0 22 26 28 16 22 0 28 30,1
6,24 26 28 30 28 30 0 0 26 0 22 0 0 24 0 0 0 28 26 0,1
7,0 0 0 0 0 0 0 0 0 0,1
8,0 0 0 0 28 0 0 0 0 0,1
9,30 0 36 0 20 0 0 0 0 0 0 32 30 24 0 26 0 28 0 30,1
10,0 28 28 26 0 0 0 26 0 0,1
11,0 0 0 22 0 28 24 24 0 26,1
12,30 24 24 36 18 26 0 24 18 0 0 0 24 22 24 22 0 20 0 0,1
13,0 26 28 0 26 26 30 0 26 24,1
14,0 0 36 0 0 0 0 24 24 0,1
15,0 0 22 36 36 22 0 28 0 34,1
16,30 28 28 26 0 0 26 26 0 0,1
17,0 28 0 24 0 28 0 26 0 0 0 28 30 0 0 0 26 28 28 20,1
18,0 0 0 0 0 0 24 0 36 36,1
19,0 0 0 28 0 0 0 0 0 26,1
20,16 30 0 0 0 0 0 0 14 0 14 0 0 0 0 0 0 28 0 0,1
21,0 0 24 26 26 0 0 0 26 26,1
22,24 26 26 24 28 0 22 22 22 0,1
23,28 30 18 0 20 0 20 0 0 22 0 0 20 16 22 0 0 0 0 0,1
24,26 20 32 28 24 28 32 22 0 0 28 0 0 30 0 26 0 0 28 14,1
25,18 0 24 26 0 0 0 32 0 26,1
26,26 0 26 18 26 0 0 0 0 18 26 16 34 28 0 0 26 18 28 0,1
27,0 24 0 0 0 0 22 0 0 0 0 0 0 0 20 32 20 0 0 24,1
28,0 24 0 0 0 22 0 0 0 0,1
29,0 26 0 26 0 26 0 0 0 0 0 0 0 0 0 0 28 0 32 20,1
30,14 38 14 38 24 18 0 26 0 0 22 0 0 28 28 24 0 0 26 0,1
31,18 0 30 0 28 28 0 34 26 22 0 32 32 0 26 0 26 0 0 0,1
32,28 20 28 26 0 14 26 30 30 0 0 24 0 32 0 0 26 22 26 20,1
33,0 0 0 24 0 0 0 0 0 0 0 24 40 18 0 34 34 22 0 0,1
34,0 0 0 0 0 30 0 0 0 0,1
35,32 16 0 24 22 28 0 18 24 20 0 0 0 0 0 34 26 0 18 0,1
36,0 16 28 0 0 0 28 0 26 0 0 18 22 0 34 26 32 0 32 30,1
37,0 24 24 24 0 0 0 0 0 0 30 0 0 0 0 0 0 42 26 0,1
38,0 0 38 0 0 0 0 30 0 30 32 32 0 18 30 0 16 0 30 0,1
39,26 0 0 22 0 26 0 30 30 0 0 0 0 0 16 0 0 0 30 18,1
40,0 0 28 0 30 0 0 0 0 30,1
41,0 0 24 24 0 24 22 0 0 0,1
42,0 26 0 0 0 38 0 0 0 24 26 20 0 26 0 0 26 28 26 0,1
43,32 0 0 24 0 0 0 22 32 0 0 0 28 0 0 26 0 0 26 24,1
44,30 22 0 0 0 0 0 0 26 0,1
